"","Id_code","PoolID","Foundation_spp","Day_Night","Before_After","Removal_Control","Group","Time_Point","Sampling_Day","Sampling_time","Wind_Speed.m.s","DO_mg_L","DO_p","Conductivity","Salinity","Temp.pool","Temp.in","date_triscal","mVolts","pH.pre","Notes","SalCal","Date_Time","PO_ug_L","NO2N_ug_L","NN_ug_L","NH4_ug_L","PO_umol_L","NN_umol_L","NH4_umol_L","Date_Run","TA_Run","TA_Raw","CRM_off","Salinity_Lab","TA_CRM","(Intercept)","TTris","mVTris","pH","pH_insitu","CO2","fCO2","pCO2","HCO3","CO3","DIC","ALK","OmegaAragonite","OmegaCalcite","TA_NormSal","DIC_Norm"
"89","D_20_5_BC","20","Phyllospadix","Day","Before","Control","Before_Control",5,2019-07-09,14:22:00,2.6,17.84,222.3,52.7,34.8,15.7,15.522,20190710,-86.9,8.423752664,NA,0.0335838388649812,2019-07-09 14:22:00,41,"5.26",28,138.6,1.323685,1.060192,7.6835682,"12/6/19",1,1978.395652,-0.023173626,33.78,1978.90710087791,-106.239247095171,1.45218230867397,-83.698473299934,8.45235152541517,8.44953389719709,3.89323862819218,106.027176233468,106.4080794203,1277.1861798941,273.180711857153,1554.26013037945,1978.90710087791,4.19480411200259,6.52378374552364,1966.10240787223,1544.20315306523
"90","D_21_5_BC","21","Phyllospadix","Day","Before","Removal","Before_Removal",5,2019-07-09,14:19:00,2.6,10.98,139.7,51.9,34.2,17.4,16.638,20190710,-79.1,8.277639982,NA,0.0325931609789396,2019-07-09 14:19:00,36.8,"13.54",84.4,212,1.188088,3.1957216,11.752644,"12/11/19",1,2040.093927,0.226350661,34.03,2035.09830000653,-106.239247095171,1.45218230867397,-82.0778378434539,8.30666802657718,8.29478168374397,6.1175934602313,174.585668719219,175.19958856913,1453.53473337986,229.078663521679,1688.73099036177,2035.09830000653,3.5462938198265,5.49930450536433,2036.89397497713,1690.22104711797
"91","D_22_5_BC","22","Phyllospadix","Day","Before","Removal","Before_Removal",5,2019-07-09,14:23:00,2.6,11.76,148.7,52.4,34.6,16.9,16.219,20190710,-36,7.530722786,NA,0.0330129945111643,2019-07-09 14:23:00,59.2,"21.6",104,202,1.911272,3.937856,11.198274,"12/12/19",1,2265.402138,0.032092078,34.16,2264.69385621092,-106.239247095171,1.45218230867397,-82.6863022307883,7.56000469254138,7.55084507564293,49.7617817895924,1402.64603323303,1407.61634205924,2115.26350273907,59.5339866179713,2224.55927114664,2264.69385621092,0.918284724345589,1.42468755620118,2275.35123906367,2235.0277853638
"92","D_23_5_BC","23","Mytilus","Day","Before","Removal","Before_Removal",5,2019-07-09,14:52:00,2.3,8.27,104.5,49.6,32.5,17.3,16.115,20190710,-34.3,7.501760277,NA,0.0314362418029854,2019-07-09 14:52:00,45.4,"64.1",248,336,1.465739,9.390272,18.626832,"12/12/19",1,1591.814797,0.032092078,33.98,1591.10651521092,-106.239247095171,1.45218230867397,-82.8373291908904,7.52585038766347,7.51028304112966,38.8920418902196,1096.3690262314,1100.23318315835,1491.59633181678,36.940867896089,1567.42924160309,1591.10651521092,0.576322743970869,0.897081959358878,1590.17057020197,1566.50722440214
"93","D_24_5_BC","24","Mytilus","Day","Before","Removal","Before_Removal",5,2019-07-09,14:56:00,2.2,8.27,102,50.7,33.3,16.4,16.052,20190710,-39.6,7.594511097,NA,0.0322783905298644,2019-07-09 14:56:00,71.4,"24.6",125,624,2.305149,4.733,34.592688,"12/13/19",1,1797.61968,-0.016058326,33.36,1797.97409207232,-106.239247095171,1.45218230867397,-82.9288166763368,7.62037394469858,7.61559327665949,34.4456824986617,949.877306219169,953.262821123638,1661.7348048921,51.6635005847547,1747.84398797551,1797.97409207232,0.800810267562212,1.24689646884511,1764.1298738686,1714.94339526068
"94","D_25_5_BC","25","Mytilus","Day","Before","Control","Before_Control",5,2019-07-09,14:58:00,2.2,5.38,64.4,52.4,34.5,15.1,15.095,20190710,-27.8,7.394446515,NA,0.0336369785939604,2019-07-09 14:58:00,104.2,"20.6",166.8,466,3.364097,6.3157152,25.833642,"12/13/19",1,2031.86967,-0.016058326,33.95,2032.22408207232,-106.239247095171,1.45218230867397,-84.3185551457378,7.42156992183558,7.42150639071704,63.9054286904861,1706.3926902493,1712.58075962571,1933.38735976504,37.6258367666391,2034.91862522217,2032.22408207232,0.577717089215429,0.900097146680249,2029.23551724574,2031.92609783214
"95","D_26_5_BC","26","Phyllospadix","Day","Before","Removal","Before_Removal",5,2019-07-09,14:32:00,2.4,9.81,117.3,52,34.2,14.1,14.365,20190710,-73,8.19099274,"ocean",0.0337875182854828,2019-07-09 14:32:00,29.6,"12.26",44.8,79.2,0.955636,1.6963072,4.3906104,"12/16/19",1,2219.892579,-0.207713212,33.86,2224.4768719028,-106.239247095171,1.45218230867397,-85.3786482310698,8.21611861355277,8.22026326888555,9.28333866516292,240.028083014128,240.908249498661,1721.45241740933,201.407400673686,1932.14315674818,2224.4768719028,3.08905525525216,4.82556361091864,2215.31726125379,1924.18727316157
"96","D_27_5_BC","27","Phyllospadix","Day","Before","Control","Before_Control",5,2019-07-09,14:34:00,2.4,8.71,103.2,53.6,33.9,14.6,14.382,20190710,-73.7,8.203116156,"ocean",0.0344928910814587,2019-07-09 14:34:00,38.8,"-0.257",27.2,138.4,1.252658,1.0299008,7.6724808,"12/16/19",1,2143.958597,-0.207713212,34.42,2148.5428899028,-106.239247095171,1.45218230867397,-85.3539611318224,8.22752610673223,8.22412032423546,8.7501161037354,229.349421793241,230.185075029047,1652.34118252521,197.448014566481,1858.53931319543,2148.5428899028,3.03646503255082,4.74103048188433,2175.0837138369,1881.49774000549
"97","D_28_5_BC","28","Phyllospadix","Day","Before","Removal","Before_Removal",5,2019-07-09,14:36:00,2.4,12.23,149.2,51.6,34,14.9,14.688,20190710,-82.6,8.356308058,"ocean",0.0332680331674515,2019-07-09 14:36:00,21.2,"6.2",21.4,41.8,0.684442,0.8102896,2.3172666,"12/17/19",1,2160.396023,0.213123483,34.26,2155.69232379315,-106.239247095171,1.45218230867397,-84.9095933453681,8.38149779221839,8.37814554746191,5.54270679044815,146.695299455967,147.227709393534,1504.09174947655,259.825762837307,1769.4602191043,2155.69232379315,3.99704210962881,6.235683943648,2172.17702979862,1782.99138548569
"98","D_29_5_BC","29","Phyllospadix","Day","Before","Control","Before_Control",5,2019-07-09,14:37:00,2.4,15.07,199,51.2,33.7,17.6,15.33,20190710,-89.1,8.463990456,NA,0.0321721290177315,2019-07-09 14:37:00,46.1,"-4.74",24.7,93.1,1.4883385,0.9352408,5.1611847,"12/17/19",1,2107.005405,0.213123483,33.95,2102.30170579315,-106.239247095171,1.45218230867397,-83.9772923031994,8.48956056357856,8.45352433537114,3.91101542737463,111.954520334595,112.34718450577,1339.53579592631,303.011017838073,1646.45782919176,2102.30170579315,4.70572215211856,7.30065065332216,2099.21008563757,1644.03656767824
