Date.Time,OceanTemp.C
6/28/19 11:00,12.14722222
6/28/19 12:00,12.14722222
6/28/19 13:00,12.99222222
6/28/19 14:00,13.13722222
6/28/19 15:00,13.185
6/28/19 16:00,13.08777778
6/28/19 17:00,12.72722222
6/28/19 18:00,13.69
6/28/19 19:00,13.57
6/28/19 20:00,13.28111111
6/28/19 21:00,13.04
6/28/19 22:00,12.99222222
6/28/19 23:00,12.99222222
6/29/19 0:00,12.72722222
6/29/19 1:00,12.485
6/29/19 2:00,12.43722222
6/29/19 3:00,11.88
6/29/19 4:00,11.83222222
6/29/19 5:00,11.63722222
6/29/19 6:00,11.34611111
6/29/19 7:00,11.71
6/29/19 8:00,13.44888889
6/29/19 9:00,13.61777778
6/29/19 10:00,12.92
6/29/19 11:00,12.99222222
6/29/19 12:00,13.20888889
6/29/19 13:00,13.23277778
6/29/19 14:00,12.96777778
6/29/19 15:00,12.79888889
6/29/19 16:00,12.96777778
6/29/19 17:00,12.99222222
6/29/19 18:00,13.04
6/29/19 19:00,12.17111111
6/29/19 20:00,12.025
6/29/19 21:00,12.58222222
6/29/19 22:00,12.485
6/29/19 23:00,12.53388889
6/30/19 0:00,12.60611111
6/30/19 1:00,12.26777778
6/30/19 2:00,11.88
6/30/19 3:00,11.92888889
6/30/19 4:00,11.68611111
6/30/19 5:00,11.66222222
6/30/19 6:00,11.63722222
6/30/19 7:00,12.31611111
6/30/19 8:00,13.69
6/30/19 9:00,13.49722222
6/30/19 10:00,13.425
6/30/19 11:00,12.775
6/30/19 12:00,13.61777778
6/30/19 13:00,12.75111111
6/30/19 14:00,12.96777778
6/30/19 15:00,13.01611111
6/30/19 16:00,12.775
6/30/19 17:00,12.75111111
6/30/19 18:00,12.38888889
6/30/19 19:00,11.88
6/30/19 20:00,11.66222222
6/30/19 21:00,11.92888889
6/30/19 22:00,11.88
6/30/19 23:00,11.78277778
7/1/19 0:00,11.78277778
7/1/19 1:00,11.85611111
7/1/19 2:00,11.68611111
7/1/19 3:00,11.49222222
7/1/19 4:00,11.51611111
7/1/19 5:00,11.39388889
7/1/19 6:00,11.24777778
7/1/19 7:00,11.2
7/1/19 8:00,11.175
7/1/19 9:00,12.79888889
7/1/19 10:00,12.72722222
7/1/19 11:00,12.50888889
7/1/19 12:00,12.46111111
7/1/19 13:00,12.26777778
7/1/19 14:00,12.26777778
7/1/19 15:00,12.05
7/1/19 16:00,11.78277778
7/1/19 17:00,11.78277778
7/1/19 18:00,11.34611111
7/1/19 19:00,11.27277778
7/1/19 20:00,11.175
7/1/19 21:00,11.15111111
7/1/19 22:00,11.51611111
7/1/19 23:00,12.70277778
7/2/19 0:00,12.79888889
7/2/19 1:00,12.58222222
7/2/19 2:00,12.53388889
7/2/19 3:00,12.38888889
7/2/19 4:00,12.43722222
7/2/19 5:00,12.31611111
7/2/19 6:00,12.195
7/2/19 7:00,12.12222222
7/2/19 8:00,12.195
7/2/19 9:00,11.83222222
7/2/19 10:00,12.94388889
7/2/19 11:00,12.79888889
7/2/19 12:00,12.67777778
7/2/19 13:00,12.65388889
7/2/19 14:00,12.775
7/2/19 15:00,12.65388889
7/2/19 16:00,12.58222222
7/2/19 17:00,12.24277778
7/2/19 18:00,12.31611111
7/2/19 19:00,11.95277778
7/2/19 20:00,12.025
7/2/19 21:00,13.04
7/2/19 22:00,12.75111111
7/2/19 23:00,13.23277778
7/3/19 0:00,13.37722222
7/3/19 1:00,13.305
7/3/19 2:00,12.79888889
7/3/19 3:00,12.36388889
7/3/19 4:00,11.71
7/3/19 5:00,11.90388889
7/3/19 6:00,12.07388889
7/3/19 7:00,11.95277778
7/3/19 8:00,12.05
7/3/19 9:00,12.43722222
7/3/19 10:00,13.04
7/3/19 11:00,13.44888889
7/3/19 12:00,13.61777778
7/3/19 13:00,13.71388889
7/3/19 14:00,13.76222222
7/3/19 15:00,13.69
7/3/19 16:00,12.65388889
7/3/19 17:00,12.60611111
7/3/19 18:00,12.43722222
7/3/19 19:00,12.46111111
7/3/19 20:00,11.95277778
7/3/19 21:00,12.05
7/3/19 22:00,11.97722222
7/3/19 23:00,11.95277778
7/4/19 0:00,11.95277778
7/4/19 1:00,12.17111111
7/4/19 2:00,12.07388889
7/4/19 3:00,12.29222222
7/4/19 4:00,12.24277778
7/4/19 5:00,11.92888889
7/4/19 6:00,11.73388889
7/4/19 7:00,11.34611111
7/4/19 8:00,11.44277778
7/4/19 9:00,11.68611111
7/4/19 10:00,11.175
7/4/19 11:00,12.025
7/4/19 12:00,11.80722222
7/4/19 13:00,12.94388889
7/4/19 14:00,12.87111111
7/4/19 15:00,12.87111111
7/4/19 16:00,12.60611111
7/4/19 17:00,12.14722222
7/4/19 18:00,12.14722222
7/4/19 19:00,11.54
7/4/19 20:00,11.46722222
7/4/19 21:00,11.73388889
7/4/19 22:00,11.78277778
7/4/19 23:00,11.78277778
7/5/19 0:00,12.05
7/5/19 1:00,12.12222222
7/5/19 2:00,12.14722222
7/5/19 3:00,12.21888889
7/5/19 4:00,12.05
7/5/19 5:00,11.92888889
7/5/19 6:00,11.85611111
7/5/19 7:00,11.68611111
7/5/19 8:00,11.565
7/5/19 9:00,11.68611111
7/5/19 10:00,11.58888889
7/5/19 11:00,11.97722222
7/5/19 12:00,13.04
7/5/19 13:00,13.01611111
7/5/19 14:00,12.775
7/5/19 15:00,12.89611111
7/5/19 16:00,12.55777778
7/5/19 17:00,12.07388889
7/5/19 18:00,11.58888889
7/5/19 19:00,11.68611111
7/5/19 20:00,11.54
7/5/19 21:00,11.95277778
7/5/19 22:00,12.21888889
7/5/19 23:00,12.43722222
7/6/19 0:00,12.99222222
7/6/19 1:00,13.35277778
7/6/19 2:00,13.13722222
7/6/19 3:00,13.185
7/6/19 4:00,13.08777778
7/6/19 5:00,12.65388889
7/6/19 6:00,12.55777778
7/6/19 7:00,12.17111111
7/6/19 8:00,12.58222222
7/6/19 9:00,12.485
7/6/19 10:00,12.29222222
7/6/19 11:00,12.89611111
7/6/19 12:00,12.89611111
7/6/19 13:00,13.06388889
7/6/19 14:00,13.40111111
7/6/19 15:00,13.28111111
7/6/19 16:00,13.185
7/6/19 17:00,12.99222222
7/6/19 18:00,12.82277778
7/6/19 19:00,12.67777778
7/6/19 20:00,12.70277778
7/6/19 21:00,12.58222222
7/6/19 22:00,12.55777778
7/6/19 23:00,12.89611111
7/7/19 0:00,13.81
7/7/19 1:00,12.75111111
7/7/19 2:00,13.23277778
7/7/19 3:00,13.32888889
7/7/19 4:00,13.40111111
7/7/19 5:00,13.25722222
7/7/19 6:00,12.96777778
7/7/19 7:00,13.01611111
7/7/19 8:00,13.16111111
7/7/19 9:00,12.82277778
7/7/19 10:00,12.96777778
7/7/19 11:00,13.64222222
7/7/19 12:00,12.87111111
7/7/19 13:00,12.84722222
7/7/19 14:00,14.00222222
7/7/19 15:00,14.26611111
7/7/19 16:00,14.05
7/7/19 17:00,13.71388889
7/7/19 18:00,13.20888889
7/7/19 19:00,12.94388889
7/7/19 20:00,12.65388889
7/7/19 21:00,11.2
7/7/19 22:00,11.22388889
7/7/19 23:00,10.95611111
7/8/19 0:00,11.565
7/8/19 1:00,11.41888889
7/8/19 2:00,11.32111111
7/8/19 3:00,11.37
7/8/19 4:00,11.68611111
7/8/19 5:00,11.75888889
7/8/19 6:00,11.63722222
7/8/19 7:00,12.21888889
7/8/19 8:00,12.09777778
7/8/19 9:00,11.68611111
7/8/19 10:00,10.98
7/8/19 11:00,11.44277778
7/8/19 12:00,11.58888889
7/8/19 13:00,12.195
7/8/19 14:00,11.83222222
7/8/19 15:00,12.41277778
7/8/19 16:00,13.90611111
7/8/19 17:00,13.185
7/8/19 18:00,12.79888889
7/8/19 19:00,12.14722222
7/8/19 20:00,11.73388889
7/8/19 21:00,11.61277778
7/8/19 22:00,11.37
7/8/19 23:00,11.29722222
7/9/19 0:00,11.12722222
7/9/19 1:00,10.93222222
7/9/19 2:00,11.005
7/9/19 3:00,12.14722222
7/9/19 4:00,12.41277778
7/9/19 5:00,12.65388889
7/9/19 6:00,12.55777778
7/9/19 7:00,12.29222222
7/9/19 8:00,12.485
7/9/19 9:00,12.50888889
7/9/19 10:00,12.46111111
7/9/19 11:00,12.34
7/9/19 12:00,12.29222222
7/9/19 13:00,12.26777778
7/9/19 14:00,12.36388889
7/9/19 15:00,12.89611111
7/9/19 16:00,13.13722222
7/9/19 17:00,13.425
7/9/19 18:00,13.04
7/9/19 19:00,12.84722222
7/9/19 20:00,12.89611111
7/9/19 21:00,12.96777778
7/9/19 22:00,12.67777778
7/9/19 23:00,12.65388889
7/10/19 0:00,12.58222222
7/10/19 1:00,12.58222222
7/10/19 2:00,12.50888889
7/10/19 3:00,13.49722222
7/10/19 4:00,13.25722222
7/10/19 5:00,13.13722222
7/10/19 6:00,13.13722222
7/10/19 7:00,13.08777778
7/10/19 8:00,12.87111111
7/10/19 9:00,12.89611111
7/10/19 10:00,12.82277778
7/10/19 11:00,12.72722222
7/10/19 12:00,12.67777778
7/10/19 13:00,15.27
7/10/19 14:00,14.45722222
7/10/19 15:00,13.85777778
