Id_code,PoolID,Foundation_spp,Day_Night,Before_After,Removal_Control,Group,Time_Point,Sampling_Day,Sampling_time,Wind_Speed.m.s,DO_mg_L,DO_p,Conductivity,Salinity,Temp.pool,Temp.in,date_triscal,mVolts,pH.pre,Notes
D_12_2_BC,12,Mytilus,Day,Before,Control,Before_Control,2,7082019,10:53,0.9,10.12,123.5,52.5,34.6,14.9,18.729,20190710,-55.1,7.844706379,
D_13_2_BC,13,Mytilus,Day,Before,Control,Before_Control,2,7082019,10:57,0.9,7.66,92.3,52.7,34.8,14.9,18.806,20190710,-34,7.479906433,
D_14_2_BC,14,Mytilus,Day,Before,Control,Before_Control,2,7082019,10:59,0.9,5.75,67.5,53.3,35.1,13.6,18.349,20190710,-30.2,7.417029555,
D_15_2_BC,15,Mytilus,Day,Before,Removal,Before_Removal,2,7082019,11:03,0.9,9.33,113.2,52.7,34.7,15.1,19.289,20190710,-57.1,7.875018525,
D_16_2_BC,16,Mytilus,Day,Before,Removal,Before_Removal,2,7082019,11:05,0.8,7.68,93.3,52.8,34.8,15.2,18.941,20190710,-33.6,7.47217137,
D2_Ocean_2_BC,Ocean,Ocean,Day,Before,Ocean,Before_Ocean,2,7092019,10:48,1.7,9.74,114.7,52.3,34.4,12.5,15.078,20190710,-60,7.957571592,
D_17_2_BC,17,Mytilus,Day,Before,Removal,Before_Removal,2,7092019,10:56,2.1,9.96,121.4,52.5,34.6,15.1,16.168,20190710,-59.2,7.935174686,extra 150 removed
D_18_2_BC,18,Phyllospadix,Day,Before,Control,Before_Control,2,7092019,11:03,2.1,9.17,110.3,52.7,34.7,14.3,15.589,20190710,-58.1,7.920438552,
D_19_2_BC,19,Mytilus,Day,Before,Control,Before_Control,2,7092019,10:58,2.1,9.55,114.1,52.6,34.6,14,15.942,20190710,-52.8,7.825344831,
D_20_2_BC,20,Phyllospadix,Day,Before,Control,Before_Control,2,7092019,11:07,2.4,12.99,154.8,52.8,34.8,13.7,16.36,20190710,-75.4,8.215703184,
D_21_2_BC,21,Phyllospadix,Day,Before,Removal,Before_Removal,2,7092019,11:11,2.4,11.18,137.9,53,35,15.5,17.306,20190710,-78.1,8.254356254,
D_22_2_BC,22,Phyllospadix,Day,Before,Removal,Before_Removal,2,7092019,11:13,2.4,10.53,127.7,53.7,35.4,15,16.631,20190710,-65.9,8.048133407,
D_23_2_BC,23,Mytilus,Day,Before,Removal,Before_Removal,2,7092019,11:20,2.4,8.89,110,52.4,34.5,16.3,17.091,20190710,-42.7,7.641565607,
D_24_2_BC,24,Mytilus,Day,Before,Removal,Before_Removal,2,7092019,11:22,2.4,8.62,104.4,52.8,34.8,15,16.436,20190710,-41.6,7.626812917,
D_25_2_BC,25,Mytilus,Day,Before,Control,Before_Control,2,7092019,11:24,2.4,6.1,72,52.8,34.8,13.9,15.679,20190710,-29.5,7.42071174,
D_26_2_BC,26,Phyllospadix,Day,Before,Removal,Before_Removal,2,7092019,11:29,2.5,9.11,108.5,53.8,35.5,13.9,16.841,20190710,-73.3,8.175037855,
D_27_2_BC,27,Phyllospadix,Day,Before,Control,Before_Control,2,7092019,11:32,2.5,7.88,93.1,52.9,34.8,13.6,15.154,20190710,-64.3,8.032147715,
D_28_2_BC,28,Phyllospadix,Day,Before,Removal,Before_Removal,2,7092019,11:39,2.7,11.02,133,53.6,35.4,14.6,15.705,20190710,-85.1,8.390629352,started to drizzle
D_29_2_BC,29,Phyllospadix,Day,Before,Control,Before_Control,2,7092019,11:41,2.7,14.49,181.2,54.4,36,15.3,16.861,20190710,-101.4,8.663182831,
D_30_2_BC,30,Mytilus,Day,Before,Control,Before_Control,2,7092019,11:46,3,8.71,99.7,52.7,34.7,15.1,16.087,20190710,-41.6,7.629131307,
D_31_2_BC,31,Mytilus,Day,Before,Control,Before_Control,2,7092019,11:49,3,5.98,73.5,52.3,34.5,15.6,15.382,20190710,-30.9,7.446923596,
D_32_2_BC,32,Mytilus,Day,Before,Removal,Before_Removal,2,7092019,11:51,3,6.11,72.8,52.8,34.9,13.9,15.23,20190710,-37.5,7.563178656,
D1_Ocean_3_BC,Ocean,Ocean,Day,Before,Ocean,Before_Ocean,3,7082019,11:25,0.7,7.79,92.2,52.5,34.5,12.7,18.234,20190710,-62.9,7.983289634,
D_1_3_BC,1,Phyllospadix,Day,Before,Control,Before_Control,3,7082019,11:33,0.7,10.14,121.7,53.2,35.1,13.9,18.249,20190710,-61.6,7.960687768,
D_2_3_BC,2,Phyllospadix,Day,Before,Removal,Before_Removal,3,7082019,11:35,0.1,13.26,162.1,52.7,34.7,14.5,18.65,20190710,-80.2,8.278800918,
D_3_3_BC,3,Phyllospadix,Day,Before,Removal,Before_Removal,3,7082019,11:41,0.1,11.58,139.2,53.1,34.9,14.5,18.617,20190710,-75,8.189274298,
D_4_3_BC,4,Phyllospadix,Day,Before,Control,Before_Control,3,7082019,11:43,0.1,11.56,144.3,53.1,35,16.2,19.073,20190710,-79.3,8.259512789,
D_5_3_BC,5,Phyllospadix,Day,Before,Control,Before_Control,3,7082019,11:45,0.4,11.74,146.9,53.2,35.2,16.1,19.784,20190710,-78,8.230861554,
D_6_3_BC,6,Phyllospadix,Day,Before,Removal,Before_Removal,3,7082019,11:47,0.4,11.08,142.1,53.1,35.1,17.2,20.267,20190710,-81.1,8.279879252,
D_7_3_BC,7,Phyllospadix,Day,Before,Removal,Before_Removal,3,7082019,11:52,0.4,10.2,122.1,53,35,13.9,19.407,20190710,-64.9,8.008496603,
D_8_3_BC,8,Phyllospadix,Day,Before,Control,Before_Control,3,7082019,11:54,0.4,10.5,130,53.6,35.4,15.9,19.66,20190710,-63,7.973772635,
D_9_3_BC,9,Mytilus,Day,Before,Control,Before_Control,3,7082019,12:02,0.2,8.53,103.2,53.4,35.3,15,19.203,20190710,-42.6,7.625707248,
