Id_code,Salinity_Lab
D_12_4_AI,33.2
D_13_4_AI,33.7
D_14_4_AI,35.16
D_15_4_AI,34.59
D_16_4_AI,34.55
D2_Ocean_4_AI,33.8
D_17_4_AI,34.05
D_18_4_AI,33.96
D_19_4_AI,34.11
D_20_4_AI,34.13
D_21_4_AI,34.04
D_22_4_AI,35.23
D_23_4_AI,34.29
D_24_4_AI,34.74
D_25_4_AI,34.76
D_26_4_AI,34.23
D_27_4_AI,34.96
D_28_4_AI,34.12
D_29_4_AI,34.19
D_30_4_AI,34.7
D_31_4_AI,34.34
D_32_4_AI,34.98
N2_Ocean_1_AI,32.82
N_1_1_AI,32.97
N_2_1_AI,32.92
N_3_1_AI,32.84
N_4_1_AI,32.83
N_5_1_AI,32.92
N_6_1_AI,33.04
N_7_1_AI,33
N_8_1_AI,32.93
N_9_1_AI,32.95
N_10_1_AI,32.97
N_11_1_AI,33.1
N_12_1_AI,33.11
N_13_1_AI,33.68
N_14_1_AI,34.46
N_15_1_AI,34.61
N_16_1_AI,34.55
N1_Ocean_1_AI,33.8
N_17_1_AI,34.04
N_18_1_AI,33.98
N_19_1_AI,33.87
N_20_1_AI,33.92
N_21_1_AI,34.2
N_22_1_AI,34.3
N_23_1_AI,35.17
N_24_1_AI,34.77
N_25_1_AI,34.2
N_26_1_AI,34.2
N_27_1_AI,34.69
N_28_1_AI,34.68
N_29_1_AI,34.7
N_30_1_AI,34.65
N_31_1_AI,35.03
N_32_1_AI,34.36
N2_Ocean_2_AI,32.8
N_1_2_AI,32.99
N_2_2_AI,32.94
N_3_2_AI,32.82
N_4_2_AI,32.92
N_5_2_AI,32.95
N_6_2_AI,32.88
N_7_2_AI,33.02
N_8_2_AI,33.03
N_9_2_AI,33.02
N_10_2_AI,32.91
N_11_2_AI,33.2
N_12_2_AI,33.16
N_13_2_AI,33.76
N_14_2_AI,33.71
N_15_2_AI,33.76
N_16_2_AI,34.48
N1_Ocean_2_AI,33.72
N_17_2_AI,34.05
N_18_2_AI,34.05
N_19_2_AI,34.11
N_20_2_AI,34.43
N_21_2_AI,34.14
N_22_2_AI,34.23
N_23_2_AI,34.34
N_24_2_AI,34.18
N_25_2_AI,34.14
N_26_2_AI,34.78
N_27_2_AI,34.82
N_28_2_AI,34.16
N_29_2_AI,34.7
N_30_2_AI,34.17
N_31_2_AI,34.33
N_32_2_AI,34.37
N2_Ocean_3_AI,32.84
N_1_3_AI,33
N_2_3_AI,32.93
N_3_3_AI,32.84
N_4_3_AI,32.84
N_5_3_AI,32.94
N_6_3_AI,32.98
N_7_3_AI,32.92
N_8_3_AI,32.91
N_9_3_AI,33.03
N_10_3_AI,32.91
N_11_3_AI,33.11
N_12_3_AI,33.08
N_13_3_AI,33.73
N_14_3_AI,33.78
N_15_3_AI,34.52
N_16_3_AI,34.47
N1_Ocean_3_AI,33.71
N_17_3_AI,34.05
N_18_3_AI,33.94
N_19_3_AI,33.93
N_20_3_AI,34.47
N_21_3_AI,34.15
N_22_3_AI,35.22
N_23_3_AI,34.25
N_24_3_AI,34.16
N_25_3_AI,34.79
N_26_3_AI,34.19
N_27_3_AI,34.25
N_28_3_AI,34.51
N_29_3_AI,34.7
N_30_3_AI,34.19
N_31_3_AI,35.02
N_32_3_AI,35
N2_Ocean_4_AI,32.76
N_1_4_AI,33
N_2_4_AI,32.86
N_3_4_AI,32.95
N_4_4_AI,32.94
N_5_4_AI,33.02
N_6_4_AI,32.99
N_7_4_AI,32.92
N_8_4_AI,33.05
N_9_4_AI,32.95
N_10_4_AI,33.06
N_11_4_AI,33.11
N_12_4_AI,33.2
N_13_4_AI,33.64
N_14_4_AI,33.79
N_15_4_AI,34.5
N_16_4_AI,34.5
N1_Ocean_4_AI,33.71
N_17_4_AI,33.95
N_18_4_AI,33.97
N_19_4_AI,34.17
N_20_4_AI,34.32
N_21_4_AI,34.14
N_22_4_AI,34.42
N_23_4_AI,34.2
N_24_4_AI,34.86
N_25_4_AI,34.16
N_26_4_AI,34.35
N_27_4_AI,34.87
N_28_4_AI,34.84
N_29_4_AI,34.73
N_30_4_AI,34.26
N_31_4_AI,35.07
N_32_4_AI,35.04
