Id_code,PO_ug_L,NO2N_ug_L,NN_ug_L,NH4_ug_L
N1_Ocean_1_BC,-0.374,-1.18,23.8,138.4
N_17_1_BC,42.2,6.64,23.2,300
N_18_1_BC,19.1,-25.3,26.6,143.2
N_19_1_BC,36,12.32,37.4,524
N_20_1_BC,22.6,5.56,11.18,99.6
N_21_1_BC,14.5,1.818,8.24,170.6
N_22_1_BC,28.6,2.36,3.68,214
N_23_1_BC,23.6,16.2,32.6,340
N_24_1_BC,#N/A,#N/A,#N/A,#N/A
N_25_1_BC,45,11.86,56.6,526
N_26_1_BC,1.998,0.1834,31,184
N_27_1_BC,9.12,-1.21,8.4,84.4
N_28_1_BC,14.44,1.708,10.62,50.6
N_29_1_BC,13.7,-3.3,-1.82,154
N_30_1_BC,33.4,11.3,85,498
N_31_1_BC,36.8,0.25,49.4,368
N_32_1_BC,31,7.22,39.2,374
N2_Ocean_2_BC,18.92,4.52,14.22,135.6
N_1_2_BC,11.9,3.41,15.2,280
N_2_2_BC,21,7.22,6.16,129.4
N_3_2_BC,19.86,38.4,7.42,262
N_4_2_BC,17.38,4.72,11.58,84.4
N_5_2_BC,19.42,-1.36,20.6,67.8
N_6_2_BC,17.96,10.7,15.6,133.6
N_7_2_BC,37.8,-0.892,20.6,117.2
N_8_2_BC,43,0.463,5.35,151
N_9_2_BC,59.8,23,117.6,420
N_10_2_BC,52.6,19.1,137.2,346
N_11_2_BC,34.6,13.2,59.8,348
N_12_2_BC,26.6,8.84,51.8,204
N_13_2_BC,35,9.14,66,330
N_14_2_BC,36,18.8,72.2,364
N_15_2_BC,155,22.8,99.7,35.4
N_16_2_BC,31.2,24.9,91.1,204
N1_Ocean_2_BC,2,-1.44,12.16,156
N_17_2_BC,63.4,15.76,25.2,458
N_18_2_BC,28,2.28,23.4,230
N_19_2_BC,68.2,34.4,90.6,610
N_20_2_BC,33.8,12.12,17.44,266
N_21_2_BC,31,5.6,2.56,184.4
N_22_2_BC,41,4.5,2.92,246
N_23_2_BC,25.8,25.7,37.4,398
N_24_2_BC,23.4,0.828,12.5,438
N_25_2_BC,65,20.4,77.8,766
N_26_2_BC,14.22,2.84,41.6,228
N_27_2_BC,16.38,-0.306,16.46,106.4
N_28_2_BC,17.7,10.2,13.22,176.4
N_29_2_BC,26.4,7.43,0.958,112
N_30_2_BC,55.4,22.6,165,542
N_31_2_BC,52.4,9.2,62.4,440
N_32_2_BC,32.2,10.76,40,414
N2_Ocean_3_BC,23.2,29.2,14.04,66.2
N_1_3_BC,63.4,0.265,12.3,25.8
N_2_3_BC,20.4,3.2,6.18,105.8
N_3_3_BC,21.6,11.2,4.44,104.6
N_4_3_BC,16.44,8.32,13.08,165.4
N_5_3_BC,21,4.68,-5.11,66.8
N_6_3_BC,22.4,16,14.8,218
N_7_3_BC,57,19.62,0.642,142.8
N_8_3_BC,41.5,3.58,5.96,102
N_9_3_BC,52.8,21.4,61.4,296
N_10_3_BC,60.6,12.58,101.8,288
N_11_3_BC,35.6,12.96,52,280
N_12_3_BC,33.6,18.26,81.4,270
N_13_3_BC,36.4,10.62,62.2,362
N_14_3_BC,49.2,16.98,91.8,420
N_15_3_BC,124,7.74,26.2,129.2
N_16_3_BC,36.4,36.1,92.3,290
N1_Ocean_3_BC,7.92,6.78,35.2,92.2
N_17_3_BC,87.2,13.88,27.8,532
N_18_3_BC,29,3.88,22,220
N_19_3_BC,92.2,31.2,93.2,670
N_20_3_BC,38.4,9.88,12.82,272
N_21_3_BC,27.6,8.79,12.5,161
N_22_3_BC,59,4.28,1.992,216
N_23_3_BC,28.2,14.5,38.5,480
